question,product,price,features,ratings,discount,Timestamp
sir I will ask the number of my phone's laptop,"""Smartphone X""",$499,"""5G, 128GB storage""",4.5,15,2025-01-27 18:44:04.499232
can you give airpods,trike buds,1200,power high quality,4.0,12%,2025-01-27 18:44:34.372392
can you tell me some laptops,Lenovo,46000,max power higher quality 512GB,4.4,27%,2025-01-27 18:49:07.148311
can you tell me the laptops,Lenovo,46000,max power higher quality 512GB,4.4,27%,2025-01-27 18:53:05.637523
super accommodation,Accent Chair,129.99,"Upholstered fabric, Modern design, Comfortable",4.5,20%,2025-01-27 18:53:40.281044
like the product,Samsung Galaxy S21,749,"128GB Storage, Exynos 2100 Chipset, 5G Support, 64MP Camera",4.7,15,2025-01-27 18:53:56.504133
can you tell me the iPhone price,iPhone 13,$799,"6.1-inch display, A15 Bionic chip, 12MP camera",4.7,10%,2025-01-27 19:28:23.374540
can you tell some laptops,Lenovo,46000,max power higher quality 512GB,4.4,27%,2025-01-27 19:28:43.327721
can you tell some funny,"""Smartphone X""",$499,"""5G, 128GB storage""",4.5,15,2025-01-27 19:28:59.750955
can you tell some laptops,Lenovo,46000,max power higher quality 512GB,4.4,27%,2025-01-27 19:29:59.909391
can you tell some airports,"""Smartphone X""",$499,"""5G, 128GB storage""",4.5,15,2025-01-27 19:30:15.871141
can you tell me some mobile phones,iPhone 13,$799,"6.1-inch display, A15 Bionic chip, 12MP camera",4.7,10%,2025-01-27 20:08:44.849697
can you tell me some airport,Sports Bike,499.99,"Lightweight, Fast, Ergonomic design",4.6,20,2025-01-27 20:09:05.955593
no problem,Accent Chair,129.99,"Upholstered fabric, Modern design, Comfortable",4.5,20%,2025-01-27 20:10:47.322278
can you tell me biscuits,Barstool Set,89.99,"Adjustable height, Comfortable cushion",4.4,20%,2025-01-27 20:15:40.615902
motorbike,Electric Bike,799.99,"Powerful motor, Long battery life, Comfortable",4.7,25,2025-01-27 20:15:56.200095
tell me the houses tell me the bathroom,Accent Rug,49.99,"Soft fabric, Modern design, Various colors",4.5,10%,2025-01-27 20:16:22.474129
can you dance,Girls' Summer Dress (Floral),39.99,"Breathable fabric, Stylish, Various sizes",4.3,15,2025-01-28 19:38:37.915167
what is the price of biscuit,Barstool Set,89.99,"Adjustable height, Comfortable cushion",4.4,20%,2025-01-28 19:39:12.535892
what is price of biscuit,Barstool Set,89.99,"Adjustable height, Comfortable cushion",4.4,20%,2025-01-28 19:39:46.131282
what is the price of pouch,iPhone 13,$799,"6.1-inch display, A15 Bionic chip, 12MP camera",4.7,10%,2025-01-28 19:48:59.721032
can you tell me pillow,Accent Chair,129.99,"Upholstered fabric, Modern design, Comfortable",4.5,20%,2025-01-28 19:49:12.300148
Veer,Accent Rug,49.99,"Soft fabric, Modern design, Various colors",4.5,10%,2025-01-28 19:49:35.587981
useless stupid cultures country report,OnePlus 9,699,"128GB Storage, Snapdragon 888 Chipset, 5G Support, 48MP Camera",4.5,12,2025-01-28 19:49:53.493614
can you tell me Google meet,"""Smartphone X""",$499,"""5G, 128GB storage""",4.5,15,2025-01-28 20:17:13.045901
mental stupid nonsense,Unknown,,,,,2025-01-28 20:17:31.373760
can you give a good,Asus laptop,50000,12 gen and intel graphics card core i5,4.8,25%,2025-01-28 20:37:27.070155
can you give bad,Asus laptop,50000,12 gen and intel graphics card core i5,4.8,25%,2025-01-28 20:37:42.328993
can you tell me snacks,Barstool Set,89.99,"Adjustable height, Comfortable cushion",4.4,20%,2025-01-28 20:51:10.863485
phones,iPhone 13,$799,"6.1-inch display, A15 Bionic chip, 12MP camera",4.7,10%,2025-01-28 20:51:23.273474
airpods couple flights aeroplane,AirPods Pro,249.99,"Active Noise Cancellation, Wireless, Sweat-resistant",4.8,15,2025-01-28 20:51:34.503420
aeroplane aeroplane,iPhone 13,799,"128GB Storage, A15 Bionic Chip, 5G Support, 12MP Camera",4.8,10,2025-01-28 20:51:46.947020
can you tell me the movies,Wall Clock,29.99,"Minimalist design, Quiet, Easy to mount",4.8,10%,2025-01-28 20:52:36.539365
cricket,Sports Bike,499.99,"Lightweight, Fast, Ergonomic design",4.6,20,2025-01-28 20:55:04.748031
scorecard,Entryway Console Table,129.99,"Slim design, Wooden, Perfect for hallways",4.6,15%,2025-01-28 20:55:11.925275
mobile phones,"""iPhone 13""",999,"""5G, 256GB storage""",4.8,10,2025-01-28 20:58:20.480110
low price phones,iPhone 13,$799,"6.1-inch display, A15 Bionic chip, 12MP camera",4.7,10%,2025-01-28 21:00:35.183749
can you tell me so low price phone,iPhone 13,$799,"6.1-inch display, A15 Bionic chip, 12MP camera",4.7,10%,2025-01-28 21:00:44.433220
I want latest laptop low budget,Lenovo,46000,max power higher quality 512GB,4.4,27%,2025-01-28 21:00:55.070140
can you tell me some mobile phones price,iPhone 13,$799,"6.1-inch display, A15 Bionic chip, 12MP camera",4.7,10%,2025-01-28 21:07:28.184305
I want mobile phones,"""iPhone 13""",999,"""5G, 256GB storage""",4.8,10,2025-01-28 21:13:48.131121
mobile phones,"""iPhone 13""",999,"""5G, 256GB storage""",4.8,10,2025-01-28 21:16:28.856507
